date;lat;lon;amount;cumulative_amount_by_location
2008-10-09;-25.274398;133.775136;1900000000;1900000000
2009-05-08;6.42375;-66.58973;2367319303;2367319303
2009-05-22;6.42375;-66.58973;2367319303;4734638606
2009-12-18;12.879721;121.774017;230000000;230000000
2011-03-17;12.879721;121.774017;2367319303;2597319303
2012-04-27;12.879721;121.774017;19000000000;21597319303
2009-02-21;17.060816;-61.796428;2367319303;2367319303
2007-02-21;35.126413;33.429859;2367319303;2367319303
2007-01-03;37.09024;-95.712891;2367319303;2367319303
2007-01-29;37.09024;-95.712891;2367319303;4734638606
2007-04-02;37.09024;-95.712891;2367319303;7101957909
2007-08-06;37.09024;-95.712891;2367319303;9469277212
2007-08-31;37.09024;-95.712891;14000000;9483277212
2007-09-28;37.09024;-95.712891;70000000000;79483277212
2008-04-01;37.09024;-95.712891;51000000;79534277212
2008-07-01;37.09024;-95.712891;1260000000;80794277212
2008-09-05;37.09024;-95.712891;200000000000;280794277212
2008-09-07;37.09024;-95.712891;7100000000;287894277212
2008-09-14;37.09024;-95.712891;182000000000;469894277212
2008-09-16;37.09024;-95.712891;1300000000;471194277212
2008-09-17;37.09024;-95.712891;21850000000;493044277212
2008-09-26;37.09024;-95.712891;600000000;493644277212
2008-09-26;37.09024;-95.712891;612000000;494256277212
2008-10-03;37.09024;-95.712891;2367319303;496623596515
2008-10-13;37.09024;-95.712891;20000000000;516623596515
2008-10-24;37.09024;-95.712891;8500000000;525123596515
2008-10-24;37.09024;-95.712891;6305000000;531428596515
2008-11-21;37.09024;-95.712891;2367319303;533795915818
2009-01-10;37.09024;-95.712891;2367319303;536163235121
2009-03-02;37.09024;-95.712891;2367319303;538530554424
2009-04-10;37.09024;-95.712891;2367319303;540897873727
2009-04-10;37.09024;-95.712891;2367319303;543265193030
2009-04-17;37.09024;-95.712891;216600000;543481793030
2009-04-24;37.09024;-95.712891;111000000;543592793030
2009-08-14;37.09024;-95.712891;2367319303;545960112333
2009-08-21;37.09024;-95.712891;2367319303;548327431636
2009-09-25;37.09024;-95.712891;2367319303;550694750939
2009-10-30;37.09024;-95.712891;2367319303;553062070242
2009-12-04;37.09024;-95.712891;2367319303;555429389545
2009-12-18;37.09024;-95.712891;2367319303;557796708848
2010-04-30;37.09024;-95.712891;550000000;558346708848
2010-11-08;37.09024;-95.712891;191800000;558538508848
2011-10-31;37.09024;-95.712891;2367319303;560905828151
2011-11-23;37.09024;-95.712891;18000000;560923828151
2012-06-11;37.09024;-95.712891;2367319303;563291147454
2008-11-02;39.399872;-8.224454;2367319303;2367319303
2010-04-15;39.399872;-8.224454;2367319303;4734638606
2010-05-24;40.463667;-3.74922;2367319303;2367319303
2011-09-30;40.463667;-3.74922;43000000000;45367319303
2012-05-25;40.463667;-3.74922;2367319303;47734638606
2008-10-17;46.818188;8.227512;376000000;376000000
2009-05-28;47.516231;14.550072;2367319303;2367319303
2009-10-05;47.516231;14.550072;2367319303;4734638606
2009-02-03;48.019573;66.923684;2367319303;2367319303
2009-02-03;48.019573;66.923684;2367319303;4734638606
2008-09-30;50.503887;4.469936;15000000000;15000000000
2008-01-01;51.165691;10.451526;2367319303;2367319303
2009-05-11;51.165691;10.451526;1050000000;3417319303
2009-12-14;51.165691;10.451526;5000000000;8417319303
2012-06-30;51.165691;10.451526;2367319303;10784638606
2007-10-09;52.132633;5.291266;328000000;328000000
2008-09-28;52.132633;5.291266;2367319303;2695319303
2009-10-21;52.132633;5.291266;2367319303;5062638606
2009-01-15;53.41291;-8.24389;2100000000;2100000000
2008-02-22;55.378051;-3.435973;2200000000;2200000000
2008-06-07;55.378051;-3.435973;4000000000;6200000000
2008-07-14;55.378051;-3.435973;896800000;7096800000
2008-09-08;55.378051;-3.435973;4900000000;11996800000
2008-09-08;55.378051;-3.435973;44000000000;55996800000
2008-09-18;55.378051;-3.435973;1900000000;57896800000
2008-09-28;55.378051;-3.435973;11200000000;69096800000
2008-10-13;55.378051;-3.435973;13000000000;82096800000
2008-10-13;55.378051;-3.435973;4000000000;86096800000
2008-10-13;55.378051;-3.435973;59200000000;145296800000
2008-10-22;55.378051;-3.435973;5580000000;150876800000
2008-11-01;55.378051;-3.435973;13900000000;164776800000
2008-11-04;55.378051;-3.435973;2367319303;167144119303
2009-03-09;55.378051;-3.435973;2367319303;169511438606
2010-02-24;55.378051;-3.435973;41000000;169552438606
2008-08-26;56.26392;9.501785;2367319303;2367319303
2008-11-08;56.879635;24.603189;2367319303;2367319303
2008-10-07;64.963051;-19.020835;2367319303;2367319303
2008-10-08;64.963051;-19.020835;1140000000;3507319303
2008-10-09;64.963051;-19.020835;1200000000;4707319303
2009-03-09;64.963051;-19.020835;2367319303;7074638606
