Month,Failed_Bank_Count
2000-10,1
2000-12,1
2001-02,1
2001-05,1
2001-07,1
2001-09,1
2002-01,2
2002-02,2
2002-03,2
2002-06,2
2002-09,1
2002-11,1
2002-12,1
2003-02,1
2003-05,1
2003-11,1
2004-02,1
2004-03,2
2004-06,1
2007-02,1
2007-09,1
2007-10,1
2008-01,1
2008-03,1
2008-05,2
2008-07,3
2008-08,3
2008-09,3
2008-10,4
2008-11,5
2008-12,3
2009-01,6
2009-02,10
2009-03,5
2009-04,8
2009-05,7
2009-06,9
2009-07,24
2009-08,15
2009-09,11
2009-10,20
2009-11,9
2009-12,16
2010-01,15
2010-02,7
2010-03,19
2010-04,23
2010-05,14
2010-06,8
2010-07,22
2010-08,10
2010-09,9
2010-10,12
2010-11,10
2010-12,8
2011-01,11
2011-02,12
2011-03,3
2011-04,13
2011-05,5
2011-06,4
2011-07,13
2011-08,7
2011-09,6
2011-10,11
2011-11,5
2011-12,2
2012-01,7
2012-02,4
2012-03,5
2012-04,6
2012-05,2
2012-06,7
2012-07,8
2012-08,1
2012-09,3
2012-10,4
2012-11,3
2012-12,1
2013-01,2
2013-02,1
2013-03,1
2013-04,6
2013-05,4
2013-06,2
2013-08,4
2013-09,2
2013-10,1
2013-12,1
2014-01,3
2014-02,2
2014-04,1
2014-05,3
2014-06,3
2014-07,2
2014-10,2
2014-11,1
2014-12,1
2015-01,2
2015-02,2
2015-05,1
2015-07,1
2015-10,2
2016-03,1
2016-04,1
2016-05,1
2016-08,1
2016-09,1
2017-01,2
2017-03,1
2017-04,1
2017-05,2
2017-10,1
2017-12,1
2019-05,1
2019-10,2
2019-11,1
2020-02,1
2020-04,1
2020-10,2
2023-03,2
2023-05,1
2023-07,1
2023-11,1
2024-04,1
2024-10,1
2025-01,1
